Sport	State	CaptureDevice	Lat	Lon	DateTaken
other	Virginia	apple	38.893166	-77.4945	1309346715000
extreme	California	canon	36.976758	-122.021219	1374419026000
extreme	Colorado	other	40.061016	-105.26329	1178455777000
running	California	canon	37.145916	-121.656675	1211805343000
other	Washington	apple	47.651167	-122.342333	1280519232000
other	Indiana	canon	38.535964	-85.857188	1145772975000
extreme	DistrictofColumbia	nikon	38.924761	-77.034502	1303556507000
football	California	canon	37.868892	-122.255854	1280519330000
hockey	California	canon	33.80832	-117.877507	1294857157000
running	Michigan	other	44.712891	-83.272333	1251546161000
hockey	Massachusetts	panasonic	42.59587	-71.533688	1361051481000
extreme	Hawaii	other	20.799769	-156.332702	1231864439000
running	Massachusetts	nikon	42.57048	-71.602879	1339860794000
baseball	Michigan	nikon	42.341853	-85.150501	1153428750000
other	Pennsylvania	nikon	39.966069	-75.181117	1341151439000
extreme	California	nikon	39.293	-120.4315	1312035293000
other	NewYork	canon	43.361489	-76.653869	1279460441000
golf	Maryland	other	38.997399	-77.025232	1177865746000
other	NewYork	other	40.580659	-73.834678	1353869298000
other	NewYork	canon	40.746045	-73.986375	1289472134000
baseball	Washington	apple	47.650333	-122.301166	1284824536000
other	Virginia	canon	36.870145	-76.294834	1190520670000
other	Montana	apple	46.916276	-114.078544	1362406877000
hockey	Oklahoma	canon	36.152611	-95.995026	1264892387000
baseball	Wisconsin	canon	43.030062	-87.975854	1215805216000
running	NewYork	other	40.774643	-73.975045	1309081912000
extreme	DistrictofColumbia	canon	38.891258	-77.026098	1361098799000
running	Georgia	sony	33.766652	-84.338264	1380368528000
other	Illinois	other	42.368865	-87.933797	1084715815000
other	Kansas	nikon	38.969002	-95.22902	1370708347000
extreme	Arkansas	nikon	34.21913	-93.102221	1340521851000
other	Washington	sony	48.748011	-122.442004	1237912686000
other	Florida	canon	30.387462	-81.396846	1242481382000
other	Indiana	other	39.46388	-87.379417	1224337930000
baseball	California	other	34.073748	-118.240313	1243451422000
other	Illinois	nikon	41.751944	-88.014746	1378233173000
other	Minnesota	other	44.972009	-93.172173	1188832904000
other	Wisconsin	canon	44.852333	-92.6215	1335358294000
hockey	Massachusetts	canon	42.346682	-71.097217	1263050319000
other	NewYork	other	42.732119	-73.691387	1308397969000
other	Hawaii	nikon	21.284415	-157.827401	1134526820000
extreme	California	other	32.693132	-117.278451	1202643637000
baseball	Michigan	nikon	43.040557	-85.659681	1333951978000
other	Georgia	nikon	34.151866	-83.810714	1241258529000
other	California	canon	37.714703	-122.379992	1238228860000
extreme	California	canon	36.673866	-121.762386	1282469184000
other	NewYork	canon	40.847644	-73.878765	1317416465000
other	Massachusetts	canon	42.342804	-71.122366	1151850065000
football	Illinois	canon	42.037833	-88.061834	1318622910000
extreme	California	canon	32.850245	-117.271435	1302362859000
cycling	Connecticut	sony	41.692142	-72.861156	1174726399000
baseball	California	nikon	37.751935	-122.201163	1341298896000
extreme	California	nikon	34.012333	-118.311	1344783030000
basketball	RhodeIsland	sony	41.6385	-71.484	1306068015000
football	Arkansas	canon	34.811624	-92.465229	1284752983000
other	Texas	apple	32.86863	-96.777191	1321260173000
other	NewYork	other	40.683166	-73.97375	1389035107000
lacrosse	Pennsylvania	nikon	40.723952	-76.189195	1379724774000
basketball	California	canon	33.885433	-118.096659	1224874264000
extreme	Georgia	panasonic	33.755726	-84.622276	1366556325000
other	Florida	nikon	26.835798	-80.066117	1369991876000
running	California	canon	34.015672	-118.496196	1269158349000
basketball	SouthCarolina	sony	32.856436	-79.916342	1322939081000
other	Washington	other	48.847236	-121.692981	1088024549000
other	NorthCarolina	nikon	35.637326	-81.223704	1243095726000
running	California	panasonic	34.222358	-118.45192	1341086561000
running	NewYork	nikon	40.793688	-73.95502	1244887319000
soccer	Arkansas	other	35.775111	-91.625761	1347715245000
soccer	Michigan	nikon	43.009986	-83.717998	1287242439000
other	Washington	canon	46.527187	-123.839006	1148821286000
extreme	California	other	38.93274	-119.950565	1070236800000
lacrosse	Wisconsin	canon	43.069851	-89.412692	1155418100000
hockey	California	canon	34.043325	-118.267049	1338998256000
hockey	Connecticut	other	41.760044	-72.61877	1298149819000
football	NorthCarolina	nikon	35.907641	-79.046888	1333804275000
extreme	Missouri	canon	38.595273	-92.304983	1151109442000
baseball	NewHampshire	canon	43.334004	-70.989343	1277489375000
other	Pennsylvania	apple	39.991508	-75.303964	1392980286000
other	Louisiana	other	29.954097	-90.070209	1171807316000
other	Illinois	canon	41.861059	-87.615065	1335696246000
soccer	Indiana	apple	39.957471	-85.957107	1286724264000
extreme	Michigan	canon	41.801422	-86.748433	1323507665000
other	California	other	34.057739	-118.23814	934411423000
other	Wisconsin	canon	44.363762	-89.734525	1153552158000
soccer	Arkansas	canon	36.17089	-94.155267	1310201500000
hockey	Massachusetts	nikon	42.358718	-71.096713	1358689376000
football	Washington	nikon	47.600744	-122.034265	1289072283000
extreme	California	nikon	39.29805	-120.386353	1324907849000
football	Pennsylvania	sony	40.811405	-77.857832	1163265337000
extreme	Vermont	other	44.882315	-72.603538	1135443036000
